Make,Model,Total_Accidents,Total_Fatalities,Total_People_Aboard,Fatality_Rate
BELLANCA,7ECA,16,2.0,18.0,0.1111111111111111
Cessna,195A,16,3.0,28.0,0.10714285714285714
CESSNA,414,16,4.0,42.0,0.09523809523809523
Bell,47G-4A,16,2.0,24.0,0.08333333333333333
DIAMOND AIRCRAFT IND INC,DA 20-C1,16,2.0,24.0,0.08333333333333333
Boeing,767,16,128.0,1555.0,0.08231511254019293
Cessna,206G,16,4.0,51.0,0.0784313725490196
EUROCOPTER,AS 350 B3,16,3.0,39.0,0.07692307692307693
Weatherly,201B,16,1.0,16.0,0.0625
CESSNA,402C,16,5.0,81.0,0.06172839506172839
Cessna,210E,16,2.0,43.0,0.046511627906976744
Cessna,310L,16,2.0,43.0,0.046511627906976744
CESSNA,207A,16,2.0,52.0,0.038461538461538464
Canadair,CL-600-2B19,16,3.0,701.0,0.0042796005706134095
BOEING,737 7H4,16,1.0,1853.0,0.0005396654074473826
Boeing,757-222,16,1.0,1986.0,0.0005035246727089627
Boeing,717-200,16,0.0,965.0,0.0
Boeing,E75,16,0.0,26.0,0.0
CESSNA,305A,16,0.0,25.0,0.0
CUBCRAFTERS INC,CC11-160,16,0.0,24.0,0.0
HILLER,UH-12E,16,0.0,19.0,0.0
CESSNA,340,15,21.0,34.0,0.6176470588235294
PIPER,PA-23-250,15,22.0,36.0,0.6111111111111112
Cessna,T337G,15,17.0,31.0,0.5483870967741935
PIPER,PA38,15,12.0,24.0,0.5
CESSNA,P210,15,15.0,31.0,0.4838709677419355
AYRES,S2R,15,6.0,14.0,0.42857142857142855
CESSNA,TU206,15,21.0,49.0,0.42857142857142855
AIR TRACTOR INC,AT-802A,15,7.0,17.0,0.4117647058823529
Piper,PA34,15,15.0,40.0,0.375
AIRBUS,A321,15,381.0,1024.0,0.3720703125
Cessna,500,15,19.0,52.0,0.36538461538461536
Mcdonnell Douglas,369D,15,13.0,36.0,0.3611111111111111
Cessna,310D,15,12.0,36.0,0.3333333333333333
Piper,PA-46-500TP,15,11.0,33.0,0.3333333333333333
PIPER,PA-32R-301T,15,13.0,40.0,0.325
Bell,206BIII,15,10.0,35.0,0.2857142857142857
CESSNA,188,15,4.0,14.0,0.2857142857142857
Beech,C-45H,15,15.0,57.0,0.2631578947368421
Beech,V35A,15,8.0,31.0,0.25806451612903225
Beech,A23-24,15,9.0,35.0,0.2571428571428571
Beech,A23A,15,6.0,24.0,0.25
CESSNA,182M,15,7.0,28.0,0.25
CIRRUS DESIGN CORP,SR22T,15,7.0,34.0,0.20588235294117646
Cessna,310C,15,7.0,34.0,0.20588235294117646
Air Tractor,AT-400,15,3.0,15.0,0.2
BEECH,95-B55 (T42A),15,5.0,25.0,0.2
